MaxDate,Customer,Campaign,Email,"First_Name","Last_Name",Department,Sent,Opened,Clicked,Trained,"Reg_Date","Sent_Date","Opened_Date","Clicked_Date","Trained_Date","Reg_Sent","Sent_Opened","Opened_Clicked","Clicked_Trained"
"1415986558.510",Company,"Sales","jack.marbles@company.com",Jack,Marbles,IT,1,0,0,0,"1415986546.477","1415986558.510",,,,12,,,
"1415986558.527",Company,"Sales","john@company.com",John,Nobles,IT,1,0,0,0,"1415986546.480","1415986558.527",,,,12,,,
"1415986603.573",Company,"Sales","jack.marbles@company.com",Jack,Marbles,IT,1,0,0,0,"1415986599.267","1415986603.573",,,,4,,,
"1415986603.583",Company,"Sales","john@company.com",John,Nobles,IT,1,0,0,0,"1415986599.270","1415986603.583",,,,4,,,
"1415987038.027",Company,"Sales","jack.marbles@company.com",Jack,Marbles,IT,1,0,1,1,"1415986908.840","1415986918.673","1415986991.077","1415986991.077","1415987038.027",10,73,0,47
"1415987036.013",Company,"Sales","john@company.com",John,Nobles,IT,1,0,1,1,"1415986908.843","1415986918.680","1415987028.383","1415987028.383","1415987036.013",10,110,0,8
"1415986357.973",Company,"Sales","jack.marbles@company.com",Jack,Marbles,IT,1,0,1,1,"1415986108.127","1415986108.373","1415986140.450","1415986140.450","1415986357.973",0,32,0,217
"1415986251.357",Company,"Sales","john@company.com",John,Nobles,IT,1,0,1,1,"1415986108.140","1415986108.383","1415986203.043","1415986203.043","1415986251.357",0,95,0,48
"1416330259.533",Company,"Social Network","john@company.com",John,Nobles,"Marketing",1,0,1,1,"1416253232.883","1416253236.247","1416330239.147","1416330239.147","1416330259.533",4,77003,0,20
"1416253390.183",Company,"Social Network","steve@company.com",Steve,Gomes,Sales,1,0,1,1,"1416253232.897","1416253236.253","1416253347.973","1416253347.973","1416253390.183",4,111,0,43
"1416327971.570",Company,"Social Network","marcus@company.com",Marcus,Lester,Law,1,0,1,0,"1416255657.667","1416255667.193","1416327971.570","1416327971.570","1416327971.570",10,72304,0,0
"1416255667.203",Company,"Social Network","melissa.landrou@company.com",Melissa,Landrou,"Back Office",1,0,0,0,"1416255657.680","1416255667.203",,,,10,,,
"1416333968.977",Company,"Social Network","stela@company.com",Stela,Andrews,RH,1,0,1,1,"1416255657.680","1416255667.213","1416333731.793","1416333731.793","1416333968.977",10,78064,0,237
"1416255667.223",Company,"Social Network","robert.castro@company.com",Robert,Castro,Sales,1,0,0,0,"1416255657.687","1416255667.223",,,,10,,,
"1416255667.230",Company,"Social Network","kennedy@company.com",Kennedy,William,"Marketing",1,0,0,0,"1416255657.687","1416255667.230",,,,10,,,
"1417461587.947",Company,"Finnancial","john@company.com",John,Nobles,"Marketing",1,0,1,1,"1417457302.420","1417457303.533","1417461580.323","1417461580.323","1417461587.947",1,4277,0,7
"1417461421.173",Company,"Finnancial","steve@company.com",Steve,Gomes,Sales,1,0,1,1,"1417457302.423","1417457303.540","1417461384.190","1417461384.190","1417461421.173",1,4081,0,37
"1417523342.113",Company,"Finnancial","marcus@company.com",Marcus,Lester,Law,1,1,0,0,"1417521231.293","1417521237.150","1417523342.113",,,6,2105,,
"1417530072.673",Company,"Finnancial","melissa.landrou@company.com",Melissa,Landrou,"Back Office",1,1,0,0,"1417521231.293","1417521237.153","1417530072.673",,,6,8835,,
"1417521237.160",Company,"Finnancial","stela@company.com",Laura,James,RH,1,0,0,0,"1417521231.307","1417521237.160",,,,6,,,
"1417521237.170",Company,"Finnancial","robert.castro@company.com",Robert,Castro,Sales,1,0,0,0,"1417521231.310","1417521237.170",,,,6,,,
"1417632911.223",Company,"Finnancial","kennedy@company.com",Kennedy,William,"Marketing",1,1,1,0,"1417521231.310","1417521237.177","1417632909.570","1417632911.223","1417632911.223",6,111672,2,0
