Computer,ip,mac,dept,SSN
FSAMUELS,10.1.21.153,8B-EE-86-CE-25-1A,Sales,105-20-4490
awashington3o,10.1.0.11,73-67-85-9B-A5-82,Product Management,743-50-1559
afrazier3p,10.1.0.196,E5-91-84-DA-99-B4,Legal,905-26-3278
ksanders3q,10.1.0.230,91-B2-EE-E3-61-17,Training,510-07-6010
aparker3r,10.1.0.52,5A-1C-83-68-1F-D3,Product Management,976-10-7458
hreed3s,10.1.0.8,70-82-82-7B-7B-0E,Legal,129-70-2063
jholmes3t,10.1.100.121,62-A2-85-D7-49-83,Sales,811-22-0374
jlopez3u,10.1.100.142,87-89-B3-F6-D4-E9,Engineering,218-71-3274
jgreene3v,10.1.100.144,A7-C9-FF-85-E1-D1,Business Development,521-99-6814
adixon3w,10.1.100.153,D7-78-E3-AF-E0-6D,Support,585-93-2310
jray3x,10.1.100.203,64-49-DC-3A-78-75,Research and Development,117-18-1176
pdiaz3y,10.1.100.223,1B-E6-F2-E6-B9-0C,Human Resources,616-28-7199
sray3z,10.1.100.250,72-A6-F4-27-39-1D,Product Management,759-17-6020
kwalker40,10.1.100.65,C7-57-9C-9B-4A-08,Training,832-53-3640
slawrence41,10.1.100.66,3B-7E-A3-25-43-8F,Training,465-63-2658
froberts42,10.1.101.115,B7-C3-64-C5-73-04,Engineering,310-71-3384
pdean43,10.1.101.230,E8-8A-79-29-88-00,Product Management,802-37-2937
hmason44,10.1.10.127,05-45-57-E8-E7-3B,Engineering,549-33-2177
cjohnston45,10.1.101.61,FA-62-BA-03-84-1C,Support,875-82-5377
rsmith46,10.1.101.83,C7-88-07-F0-B6-2E,Services,546-30-7521
hrice47,10.1.102.213,09-49-1A-93-83-D7,Human Resources,973-12-1263
epowell48,10.1.102.243,76-91-70-2A-74-8B,Services,326-48-2754
kwilliamson49,10.1.102.250,60-E9-13-48-BF-9A,Services,835-53-9177
rprice4a,10.1.103.161,3C-8C-47-62-56-FD,Human Resources,784-01-9050
jhanson4b,10.1.103.212,7A-9F-3F-1D-D1-78,Research and Development,215-61-0927
amartinez4c,10.1.104.165,3D-2A-9F-84-BE-76,Services,283-27-2400
cbaker4d,10.1.104.36,D1-43-6C-7B-91-7C,Services,764-51-1209
emiller4e,10.1.104.61,54-1A-D6-B7-E3-39,Services,379-55-3263
chansen4f,10.1.105.135,A0-DC-2A-50-C5-D6,Human Resources,520-99-5916
hhudson4g,10.1.105.82,21-1B-FC-0F-82-2C,Research and Development,967-82-7986
jlopez4h,10.1.106.60,70-ED-DC-E0-14-BF,Marketing,253-92-2107
aperkins4i,10.1.106.65,AA-14-5F-A7-7D-76,Legal,804-01-6604
lharvey4j,10.1.106.89,E6-D8-52-46-D4-5F,Human Resources,538-61-0043
smurphy4k,10.1.107.58,DF-2A-8E-B3-49-21,Services,530-30-2487
rroberts4l,10.1.108.111,5B-B7-EA-1F-C7-23,Sales,531-80-9276
mreid4m,10.1.108.150,DB-50-DB-D2-5B-FB,Accounting,219-14-0616
mriley4n,10.1.108.179,36-A4-ED-EF-F2-B1,Product Management,924-53-0090
ehowell4o,10.1.108.254,28-93-05-62-85-6D,Sales,531-46-4067
jthompson4p,10.1.108.98,E1-34-74-99-F3-7B,Product Management,504-02-1077
aford4q,10.1.108.99,5A-2F-DA-F6-F7-E6,Support,802-55-6758
rscott4r,10.1.109.109,5B-14-6A-00-7F-1E,Product Management,638-82-7236
jlynch4s,10.1.109.212,3E-DA-90-15-84-EF,Marketing,105-34-2540
shicks4t,10.1.109.251,30-A9-F8-DE-0F-83,Human Resources,794-90-1933
candrews4u,10.1.110.45,B8-C5-B6-85-35-89,Support,309-09-7149
jriley4v,10.1.110.86,32-07-34-A3-85-1F,Legal,324-76-1438
jbarnes4w,10.1.111.159,7A-32-61-02-B6-80,Engineering,381-08-3458
hbanks4x,10.1.111.178,70-33-76-D2-55-DA,Accounting,863-64-0306
jrice4y,10.1.11.125,C6-FC-0F-5D-14-F4,Sales,876-47-8112
