customer,_time,status,original_balance
Abbot,2019/02/21 12:16:46 EST,active,10646
Adele,2019/02/21 12:48:40 EST,active,6313
Ainsley,2019/02/21 11:53:52 EST,active,6731
Alec,2019/02/21 12:10:50 EST,active,9210
Alexis,2019/02/21 12:37:25 EST,active,13487
Alice,2019/02/21 12:25:37 EST,active,11719
Allen,2019/02/21 12:53:18 EST,active,13918
Alvin,2019/02/21 12:29:19 EST,active,9150
Amal,2019/02/21 12:16:55 EST,active,8492
Amber,2019/02/21 12:46:24 EST,active,7034
Amela,2019/02/21 11:55:58 EST,active,10450
Amery,2019/02/21 12:11:48 EST,active,11054
Amir,2019/02/21 12:23:58 EST,active,10149
Aquila,2019/02/21 12:08:52 EST,active,11995
Asher,2019/02/21 12:44:03 EST,active,12950
Axel,2019/02/21 12:27:14 EST,active,10051
Baker,2019/02/21 12:39:49 EST,active,6598
Barclay,2019/02/21 11:56:03 EST,active,6464
Beck,2019/02/21 12:32:33 EST,active,11088
Benedict,2019/02/21 12:08:44 EST,active,12453
Bertha,2019/02/21 12:31:39 EST,active,12401
Beverly,2019/02/21 12:09:51 EST,active,11630
Blair,2019/02/21 12:40:49 EST,active,14381
Blake,2019/02/21 12:43:13 EST,active,6960
Bo,2019/02/21 11:54:51 EST,active,10917
Brendan,2019/02/21 12:06:51 EST,active,10085
Brenden,2019/02/21 12:41:01 EST,active,10089
Brennan,2019/02/21 12:44:41 EST,active,6742
Brett,2019/02/21 12:23:32 EST,active,11507
Byron,2019/02/21 12:28:09 EST,active,12485
Cailin,2019/02/21 12:45:18 EST,active,14540
Cain,2019/02/21 12:32:03 EST,active,8953
Caleb,2019/02/21 12:08:32 EST,active,8843
Cameron,2019/02/21 12:27:40 EST,active,6203
Carla,2019/02/21 12:25:26 EST,active,1000
Carolyn,2019/02/21 12:37:47 EST,active,14956
Charde,2019/02/21 12:33:27 EST,active,11281
Charlotte,2019/02/21 12:39:36 EST,active,9022
Chava,2019/02/21 12:15:35 EST,active,8407
Cherokee,2019/02/21 12:30:12 EST,active,11882
Chiquita,2019/02/21 12:35:25 EST,active,14370
Ciaran,2019/02/21 12:41:50 EST,active,11292
Claudia,2019/02/21 12:53:38 EST,active,9287
Cleo,2019/02/21 12:09:48 EST,active,6887
Clinton,2019/02/21 12:39:35 EST,active,9214
Cooper,2019/02/21 12:39:37 EST,active,7454
Cullen,2019/02/21 12:47:42 EST,active,8379
Damon,2019/02/21 12:15:23 EST,active,7686
Davis,2019/02/21 12:02:50 EST,active,12038
Dean,2019/02/21 12:52:00 EST,active,12230
Demetria,2019/02/21 12:43:44 EST,active,12323
Desiree,2019/02/21 12:16:49 EST,active,11902
Dexter,2019/02/21 12:32:46 EST,active,10288
Dillon,2019/02/21 12:32:31 EST,active,7003
Dora,2019/02/21 12:06:35 EST,active,6540
Driscoll,2019/02/21 12:42:08 EST,active,11781
Duncan,2019/02/21 12:36:56 EST,active,6614
Dustin,2019/02/21 12:23:57 EST,active,6543
Eagan,2019/02/21 12:07:15 EST,active,6804
Eaton,2019/02/21 12:13:28 EST,active,10502
Ebony,2019/02/21 12:29:03 EST,active,8164
Eleanor,2019/02/21 12:25:05 EST,active,10957
Elizabeth,2019/02/21 12:10:53 EST,active,12576
Elvis,2019/02/21 12:41:07 EST,active,6672
Emery,2019/02/21 11:59:42 EST,active,13254
Emi,2019/02/21 12:17:07 EST,active,6976
Emma,2019/02/21 12:25:55 EST,active,14401
Erich,2019/02/21 12:10:21 EST,active,12404
Ethan,2019/02/21 12:01:22 EST,active,13253
Evan,2019/02/21 12:35:48 EST,active,12109
Ezekiel,2019/02/21 12:42:25 EST,active,9822
Fay,2019/02/21 12:24:56 EST,active,11957
Fitzgerald,2019/02/21 11:57:36 EST,active,9907
Fritz,2019/02/21 12:08:41 EST,active,10280
Fulton,2019/02/21 12:18:07 EST,active,6655
Gabriel,2019/02/21 12:19:57 EST,active,12545
Garrett,2019/02/21 11:55:23 EST,active,11337
Garth,2019/02/21 12:19:55 EST,active,11002
Gary,2019/02/21 12:44:41 EST,active,13065
George,2019/02/21 12:36:21 EST,active,13188
Geraldine,2019/02/21 12:19:48 EST,active,14654
Gil,2019/02/21 12:13:04 EST,active,13142
Ginger,2019/02/21 12:26:25 EST,active,11303
Gisela,2019/02/21 12:23:25 EST,active,8073
Grady,2019/02/21 12:33:21 EST,active,12281
Gretchen,2019/02/21 12:52:55 EST,active,7286
Hall,2019/02/21 12:07:07 EST,active,14349
Harding,2019/02/21 12:12:44 EST,active,12345
Harper,2019/03/01 01:58:41 EST,active,6060
