epoch,_time,customer,amount,action,account
1554092767,2019/04/01 00:26:07 EDT,Adam,177,balance,100274
1554078841,2019/03/31 20:34:01 EDT,Adele,495,balance,100075
1554093646,2019/04/01 00:40:46 EDT,Ahmed,378,balance,100029
1554104253,2019/04/01 03:37:33 EDT,Ainsley,404,balance,100086
1554080311,2019/03/31 20:58:31 EDT,Alden,301,balance,100212
1554114920,2019/04/01 06:35:20 EDT,Alexa,144,balance,100091
1554101204,2019/04/01 02:46:44 EDT,Allistair,132,balance,100276
1554099287,2019/04/01 02:14:47 EDT,Amir,483,balance,100260
1554096029,2019/04/01 01:20:29 EDT,Angelica,197,balance,100233
1554083775,2019/03/31 21:56:15 EDT,Aretha,446,balance,100100
1554109412,2019/04/01 05:03:32 EDT,Arthur,110,balance,100229
1554107661,2019/04/01 04:34:21 EDT,Aubrey,304,balance,100070
1554082430,2019/03/31 21:33:50 EDT,Audrey,178,balance,100281
1554113330,2019/04/01 06:08:50 EDT,August,192,balance,100084
1554092538,2019/04/01 00:22:18 EDT,Autumn,339,balance,100047
1554094342,2019/04/01 00:52:22 EDT,Avram,200,balance,100282
1554109450,2019/04/01 05:04:10 EDT,Axel,116,balance,100083
1554109455,2019/04/01 05:04:15 EDT,Axel,116,balance,100083
1554109460,2019/04/01 05:04:20 EDT,Axel,116,balance,100083
1554109465,2019/04/01 05:04:25 EDT,Axel,116,balance,100083
1554109470,2019/04/01 05:04:30 EDT,Axel,116,balance,100083
1554103776,2019/04/01 03:29:36 EDT,Barbara,453,balance,100039
1554098076,2019/04/01 01:54:36 EDT,Barrett,237,balance,100215
1554108662,2019/04/01 04:51:02 EDT,Benedict,337,balance,100249
1554083255,2019/03/31 21:47:35 EDT,Bernard,326,balance,100025
1554088121,2019/03/31 23:08:41 EDT,Blaine,264,balance,100017
1554112815,2019/04/01 06:00:15 EDT,Blaze,167,balance,100027
1554107401,2019/04/01 04:30:01 EDT,Bradley,255,balance,100074
1554100892,2019/04/01 02:41:32 EDT,Brenna,264,balance,100250
1554102320,2019/04/01 03:05:20 EDT,Brennan,468,balance,100067
1554093672,2019/04/01 00:41:12 EDT,Brielle,424,balance,100231
1554081625,2019/03/31 21:20:25 EDT,Burke,237,balance,100223
1554113446,2019/04/01 06:10:46 EDT,Burton,193,balance,100012
1554084095,2019/03/31 22:01:35 EDT,Cade,275,balance,100251
1554093745,2019/04/01 00:42:25 EDT,Cadman,161,balance,100213
