epoch,_time,customer,action,account,clientIP
1532063432,2018/07/20 01:10:32 EDT,Samson,browse,100000,219.188.3.205
1532085000,2018/07/20 07:10:00 EDT,Colton,edit_profile,100001,219.188.3.205
1532088372,2018/07/20 08:06:12 EDT,Colton,edit_profile,100001,219.188.3.205
1532088332,2018/07/20 08:05:32 EDT,Colton,edit_profile,100001,219.188.3.205
1532088482,2018/07/20 08:08:02 EDT,Colton,edit_profile,100001,219.188.3.205
1532088552,2018/07/20 08:09:12 EDT,Colton,edit_profile,100001,219.188.3.205
1532088572,2018/07/20 08:09:32 EDT,Colton,browse,100001,161.17.235.148
1532127837,2018/07/20 19:03:57 EDT,Fulton,browse,100002,219.188.3.205
1532055631,2018/07/19 23:00:31 EDT,Nicholas,browse,100003,169.38.116.191
1532085902,2018/07/20 07:25:02 EDT,Kuame,browse,100004,219.188.3.205
1532098361,2018/07/20 10:52:41 EDT,Zenaida,browse,100005,245.204.254.59
1532062009,2018/07/20 00:46:49 EDT,Seth,browse,100006,161.17.235.148
1532100127,2018/07/20 11:22:07 EDT,Wyatt,browse,100007,245.204.254.59
1532062108,2018/07/20 00:48:28 EDT,Amy,browse,100008,13.0.240.146
1532126099,2018/07/20 18:34:59 EDT,Alexander,browse,100009,153.75.236.81
1532082265,2018/07/20 06:24:25 EDT,Mari,browse,100010,194.8.168.11
1532075864,2018/07/20 04:37:44 EDT,Quinn,browse,100011,219.188.3.205
1532109471,2018/07/20 13:57:51 EDT,Keith,browse,100014,13.0.240.146
1532108999,2018/07/20 13:49:59 EDT,Paki,browse,100015,169.38.116.191
1532126539,2018/07/20 18:42:19 EDT,Fritz,browse,100016,13.0.240.146
1532068636,2018/07/20 02:37:16 EDT,Shellie,browse,100017,2.255.23.61
1532102301,2018/07/20 11:58:21 EDT,Doris,browse,100018,154.160.48.22
1532050887,2018/07/19 21:41:27 EDT,Cody,browse,100019,245.204.254.59
1532122764,2018/07/20 17:39:24 EDT,Kasimir,browse,100020,153.75.236.81
1532076679,2018/07/20 04:51:19 EDT,Jeremy,browse,100021,219.188.3.205
1532091345,2018/07/20 08:55:45 EDT,Wayne,browse,100022,169.38.116.191
1532054701,2018/07/19 22:45:01 EDT,James,browse,100023,2.255.23.61
1532063277,2018/07/20 01:07:57 EDT,Alisa,browse,100024,194.8.168.11
