epoch,_time,customer,amount_withdrawal,account_number
1551448940,2019/03/01 09:02:20 EST,Raymond,247,10101
1551446719,2019/03/01 08:25:19 EST,Walker,386,10102
1551451662,2019/03/01 09:47:42 EST,Cameron,375,10103
1551446918,2019/03/01 08:28:38 EST,Murphy,379,10104
1551445633,2019/03/01 08:07:13 EST,Nehru,290,10105
1551450305,2019/03/01 09:25:05 EST,Lewis,418,10106
1551449864,2019/03/01 09:17:44 EST,Hedda,170,10107
1551447273,2019/03/01 08:34:33 EST,Chava,49,10108
1551447262,2019/03/01 08:34:22 EST,Cailin,223,10109
1551447373,2019/03/01 08:36:13 EST,Rhoda,87,10110
1551445378,2019/03/01 08:02:58 EST,Hilary,193,10111
1551447962,2019/03/01 08:46:02 EST,Sara,373,10112
1551446786,2019/03/01 08:26:26 EST,Kermit,194,10113
1551447335,2019/03/01 08:35:35 EST,Harriet,436,10114
1551448222,2019/03/01 08:50:22 EST,Baker,345,10115
1551447384,2019/03/01 08:36:24 EST,Mia,105,10116
1551451714,2019/03/01 09:48:34 EST,Jason,4,10117
1551451773,2019/03/01 09:49:33 EST,Jason,5001,10117
1551446095,2019/03/01 08:14:55 EST,Cain,162,10118
1551445323,2019/03/01 08:02:03 EST,Brenden,338,10119
1551448006,2019/03/01 08:46:46 EST,Bo,270,10120
1551445809,2019/03/01 08:10:09 EST,Kareem,123,10121
1551445297,2019/03/01 08:01:37 EST,Jolie,405,10122
1551451649,2019/03/01 09:47:29 EST,George,425,10123
1551450996,2019/03/01 09:36:36 EST,Rhea,136,10124
1551445317,2019/03/01 08:01:57 EST,Gisela,221,10125
1551449001,2019/03/01 09:03:21 EST,Amal,222,10126
1551445284,2019/03/01 08:01:24 EST,Lee,252,10127
1551450230,2019/03/01 09:23:50 EST,Charlotte,365,10128
1551445138,2019/03/01 07:58:58 EST,Hedda,244,10129
1551448667,2019/03/01 08:57:47 EST,Zelenia,153,10130
1551449914,2019/03/01 09:18:34 EST,Grady,170,10131
1551448813,2019/03/01 09:00:13 EST,Aquila,499,10132
1551446033,2019/03/01 08:13:53 EST,Maggie,154,10133
1551448617,2019/03/01 08:56:57 EST,Kylynn,95,10134
1551448546,2019/03/01 08:55:46 EST,Ocean,294,10135
1551448345,2019/03/01 08:52:25 EST,Penelope,483,10136
1551445492,2019/03/01 08:04:52 EST,Gary,129,10137
1551450407,2019/03/01 09:26:47 EST,Fritz,39,10138
1551449327,2019/03/01 09:08:47 EST,Ezekiel,57,10139
1551449705,2019/03/01 09:15:05 EST,Amela,3,10140
1551449765,2019/03/01 09:16:05 EST,Amela,3001,10140
1551447051,2019/03/01 08:30:51 EST,Dora,183,10141
1551447934,2019/03/01 08:45:34 EST,Beverly,245,10142
1551446625,2019/03/01 08:23:45 EST,Otto,174,10143
1551445401,2019/03/01 08:03:21 EST,Beck,332,10144
1551446706,2019/03/01 08:25:06 EST,Signe,361,10145
1551448973,2019/03/01 09:02:53 EST,Ebony,389,10146
1551445075,2019/03/01 07:57:55 EST,Chiquita,451,10147
1551448901,2019/03/01 09:01:41 EST,Randall,313,10148
1551448331,2019/03/01 08:52:11 EST,Demetria,406,10149
1551449578,2019/03/01 09:12:58 EST,Garth,283,10150
1551451141,2019/03/01 09:39:01 EST,Hall,388,10151
1551449217,2019/03/01 09:06:57 EST,Eagan,306,10152
1551447306,2019/03/01 08:35:06 EST,Lucius,274,10153
