accountNumber,lastName,firstName,Age,Gender,customerMDN,Address,customerCity,customerState,customerZip,customerPlan,customerPlanDesc,customer,JSESSIONID
900000000,SIMMONS,JOSEPHINE,26,F,8963318257,18229 Chrisman Ave.,INGLEWOOD,CA,90301,1400POST5L90,1400 Minute Family,SD3SL1FF700001,
900000001,BLANKENSHIP,MICHELLE,22,F,5797987591,10457 Knickerson Blvd.,MEMPHIS,TN,38112,700POST5L70,700 Minute Family,SD3SL1FF700002,
900000002,MADDEN,ROBBIE,45,M,8137828577,17345 Walkhurst Ln.,BAKERSFIELD,CA,93308,ULPRE50,Unlimited Prepaid,SD3SL1FF700003,
900000003,TERRY,ALISON,39,F,4815887609,4832 Skywalker Ranch St.,TOLEDO,OH,43612,ULPOST70,Unlimited,SD3SL1FF700004,
900000004,TANNER,ERNIE,61,M,4639448122,8593 North Ruff Ln.,SEATTLE,WA,98116,450POST40,450 Minute,SD3SL1FF700005,
900000005,CLEMENTS,COLE,21,M,2498226496,2966 Jefferies Hwy.,METAIRIE,LA,70002,1400POST5L90,1400 Minute Family,SD3SL1FF700006,
900000006,RUSH,SARAH,61,F,7876385789,14222 Barton Hall Ave.,DENVER,CO,80243,ULPRE50,Unlimited Prepaid,SD3SL1FF700007,
900000007,MEADOWS,EDDIE,28,F,6808676165,9947 Laundess Blvd.,MIAMI,FL,33177,ULPRE50,Unlimited Prepaid,SD3SL1FF700008,
900000008,TYSON,MABLE,53,F,7759327601,5719 South Central Ave.,EL PASO,TX,88553,450POST40,450 Minute,SD3SL1FF700009,
900000009,WISE,THAD,64,M,6444812799,18848 Two Dells St.,BOISE,ID,83708,700POST5L70,700 Minute Family,SD3SL1FF700010,
900000010,HOLMAN,MELISA,66,F,3753598063,15593 Ackworth St.,BOISE,ID,83707,ULPRE50,Unlimited Prepaid,SD3SL1FF700011,
900000011,OLSON,BRIGITTE,30,F,2562592067,11047 Wheeler Dr.,SPOKANE,WA,99203,900POST60,900 Minute,SD3SL1FF700012,
900000012,COPELAND,WAYNE,29,M,4688769760,17051 Laurelwalk St.,BRONX,NY,10475,250PRE25,250 Minute Prepaid,SD3SL1FF700013,
900000013,FULTON,IRVING,45,M,8036397816,3460 Mascalls St.,TOPEKA,KS,66601,450POST40,450 Minute,SD3SL1FF700014,
900000014,DICKSON,MINDY,47,F,5137977783,18494 Old Tyngsboro Ln.,TACOMA,WA,98477,ULPRE50,Unlimited Prepaid,SD3SL1FF700015,
900000015,BOWEN,TANISHA,43,F,3444727591,8631 Hidden Knoll St.,ATLANTA,GA,30307,450POST40,450 Minute,SD3SL1FF700016,
900000016,PACHECO,ISMAEL,26,M,9145436973,17792 Alfords Point Ave.,WASHINGTON,DC,20007,ULPRE50,Unlimited Prepaid,SD3SL1FF700017,
900000017,RANDALL,MONTE,33,M,7233512826,2956 Rocky Meadow Ave.,BLOOMINGTON,IL,61709,ULPRE50,Unlimited Prepaid,SD3SL1FF700018,
900000018,SHANNON,DOROTHEA,20,F,2858475671,11039 Pond House Pkwy.,SAN FRANCISCO,CA,94155,250PRE25,250 Minute Prepaid,SD3SL1FF700019,
900000019,EVANS,IGNACIO,39,M,4389126856,2707 Landvale Hwy.,CHICAGO,IL,60634,5503L60,550 Minute Family,SD3SL1FF700020,
900000020,HENRY,ANTONIA,69,F,3965976567,2393 HIll Pkwy.,READING,PA,19612,900POST60,900 Minute,SD3SL1FF700021,
900000021,LE,OLLIE,19,F,3094252265,7904 Crimson Dr.,WASHINGTON,DC,20244,ULPRE50,Unlimited Prepaid,SD3SL1FF700022,
900000022,MENDEZ,CAROLINA,33,F,9555927210,17360 East Forks Pkwy.,HOUSTON,TX,77203,2100POST5L110,2100 Minute Family,SD3SL1FF700023,
