group,"cui_system_splunk_id",user,"_mkv_child"
"Company Support","default_system","user_1@email.com",0
"AWS@company.com","default_system","user_1@email.com",0
"AWS@email.com","default_system","user_1@email.com",0
"About Us Main","default_system","user_1@email.com",0
"About Us Master Summary Document","default_system","user_1@email.com",0
"Accounting and Back Office Operations","default_system","user_1@email.com",0
"User Name","default_system","user_2@email.com",0
"All Company","default_system","user_1@email.com",0
"All Users","default_system","SharePointAdmin@organization.onmicrosoft.com",0
"All Users","default_system","user_1@email.com",1
"All Users","default_system","migrationapp@organization.onmicrosoft.com",2
"Company-Tech","default_system","user_3@email.com",0
"App Back-up","default_system","user_1@email.com",0
Blog,"default_system","user_3@email.com",0
"Company MS Tech","default_system","user_1@email.com",0
"CMMC Evidence Test","default_system","user_1@email.com",0
"Company Two","default_system","user_4@email.com",0
AAAA,"default_system","user_5@email.com",0
Careers,"default_system","user_6@email.com",0
Charity,"default_system","user_1@email.com",0
"Client Files","default_system","user_1@email.com",0
"Client Public Shares","default_system","user_1@email.com",0
"Coaching & Disciplinary Policy","default_system","user_1@email.com",0
Communications,"default_system","user_7@email.com",0
"Competitive Intel","default_system","user_1@email.com",0
Contracts,"default_system","user_1@email.com",0
"Cyber Risk & Compliance","default_system","user_1@email.com",0
"Service Backup","default_system","user_1@email.com",0
"Demand Gen Team","default_system","user_2@email.com",0
EBRs,"default_system","user_1@email.com",0
"Random City Executive Suites","default_system","user_1@email.com",0
Company Three,"default_system","user_1@email.com",0
"Human Resources","default_system","user_1@email.com",0
"Information Security","default_system","user_1@email.com",0
"Job Descriptions","default_system","user_1@email.com",0
LDP2020,"default_system","user_1@email.com",0
"MS-Company","default_system","user_1@email.com",0
"Managed Services","default_system","user_1@email.com",0
Marketing,"default_system","user_8@email.com",0
"Person's Files","default_system","user_9@email.com",0
MySonicWall,"default_system","user_1@email.com",0
"New Hires","default_system","user_6@email.com",0
Observability,"default_system","user_10@email.com",0
"Observability Practice","default_system","user_1@email.com",0
"Office Systems and Building Admin","default_system","user_1@email.com",0
Operations,"default_system","user_6@email.com",0
"Org Chart","default_system","user_1@email.com",0
PS,"default_system","user_1@email.com",0
"Partner Info","default_system","user_1@email.com",0
"Performance Reviews","default_system","user_1@email.com",0
"Personal Person","default_system","user_6@email.com",0
"Products and Solutions","default_system","user_1@email.com",0
"Professional Services","default_system","user_1@email.com",0
"Project Management","default_system","user_1@email.com",0
"Q1 2022","default_system","user_8@email.com",0
"Ransomware Assessments","default_system","user_6@email.com",0
"Real Estate","default_system","user_1@email.com",0
Recruitment,"default_system","user_1@email.com",0
"Recruitment Leadership","default_system","user_1@email.com",0
"Reps_Sales","default_system","user_11@email.com",0
"SA Docs","default_system","user_10@email.com",0
ABCD,"default_system","user_1@email.com",0
LeadershipSeries,"default_system","user_1@email.com",0
"SFDC API","default_system","user_1@email.com",0
"SFDC Integration","default_system","user_6@email.com",0
Company,"default_system","user_1@email.com",0
Company,"default_system","migrationapp@organization.onmicrosoft.com",1
"Company - Company One","default_system","user_1@email.com",0
"Company Benefits","default_system","user_12@email.com",0
"Company Internal","default_system","user_1@email.com",0
"Company Services Interviewing","default_system","user_1@email.com",0
"Company Services Team","default_system","user_6@email.com",0
Sa,"default_system","user_1@email.com",0
"Sales Group","default_system","user_11@email.com",0
"Sales and Bus Dev","default_system","user_1@email.com",0
"Sales_&_SAs","default_system","user_11@email.com",0
Salesforce,"default_system","user_1@email.com",0
"Salesforce Users","default_system","user_1@email.com",0
"Person Email Forward","default_system","user_11@email.com",0
"Security Services","default_system","user_1@email.com",0
Service,"default_system","user_13@email.com",0
"Solution Architects","default_system","user_1@email.com",0
"Solutions Architects","default_system","user_10@email.com",0
"Solutions/IP","default_system","user_1@email.com",0
"Splunkbase App","default_system","user_14@email.com",0
"Talent Management","default_system","user_12@email.com",0
"Tech Interviews","default_system","user_15@email.com",0
"Technology Operations Internal","default_system","user_1@email.com",0
Terminations,"default_system","user_6@email.com",0
Test,"default_system","user_16@email.com",0
"To-Do","default_system","user_17@email.com",0
Traction,"default_system","user_1@email.com",0
"Traction Share","default_system","user_1@email.com",0
"Training & Development","default_system","user_1@email.com",0
"Training Materials","default_system","user_1@email.com",0
"Vendor Registration Information","default_system","user_1@email.com",0
"Company Team Project","default_system","user_3@email.com",0
"allcompany_company","default_system","user_18@email.com",0
"awsDev@company.com","default_system","user_1@email.com",0
"awsManagedServices@email.com","default_system","user_1@email.com",0
"awsProfessionalServices@email.com","default_system","user_1@email.com",0
"awsSharedServices@email.com","default_system","user_1@email.com",0
Company1,"default_system","user_19@email.com",0
mike,"default_system","user_20@email.com",0
"ms-alerts","default_system","user_4@email.com",0
"person@company.com","default_system","user_1@email.com",0
"user_22@email.com","default_system","user_2@email.com",0
test,"default_system","user_21@email.com",0
"Company Technical Solutions Inc","default_system","user_1@email.com",0
