bunit,category,"cui_system_splunk_id",email,endDate,first,identity,"identity_tag",last,managedBy,nick,phone,prefix,priority,startDate,suffix,watchlist,"work_city","work_country","work_lat","work_long"
,"default
windows","default_system",,,,system,,,,,,,,,,,,,,
,"default
linux","default_system",,,,root,,,,,,,,,,,,,,
,"default
windows","default_system",,,,"local service",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-0",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-1",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-2",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-3",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-4",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-5",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-6",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-7",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-8",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-9",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-10",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-11",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-12",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-13",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-14",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-15",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"dwm-16",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"network service",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-0",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-1",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-2",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-3",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-4",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-5",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-6",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-7",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-8",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-9",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-10",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-11",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-12",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-13",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-14",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-15",,,,,,,,,,,,,,
,"default
windows","default_system",,,,"umfd-16",,,,,,,,,,,,,,
,"default
windows","default_system",,,,defaultapppool,,,,,,,,,,,,,,
,"default
windows","default_system",,,,"anonymous logon",,,,,,,,,,,,,,
,"default
windows","default_system",,,,administrator,,,,,,,,,,,,,,
,"default
linux","default_system",,,,gdm,,,,,,,,,,,,,,
,"default
linux","default_system",,,,chrony,,,,,,,,,,,,,,
,"default
linux","default_system",,,,dbus,,,,,,,,,,,,,,
,"default
linux","default_system",,,,"ec2-user",,,,,,,,,,,,,,
,"default
linux","default_system",,,,sshd,,,,,,,,,,,,,,
,"default
linux","default_system",,,,"systemd+",,,,,,,,,,,,,,
,"default
linux","default_system",,,,"libstor+",,,,,,,,,,,,,,
,"default
linux","default_system",,,,splunk,,,,,,,,,,,,,,
