id,label,type,details
"userX","User X (userX@example.com)","user","{""department"":""Sales"",""last_login"":""2025-06-14T10:00:00Z""}"
"userY","User Y (userY@example.com)","user","{""department"":""Engineering"",""status"":""Active""}"
"hostZ","Host Z (srv-web-01)","host","{""os"":""Linux Ubuntu 22.04"",""ip_internal"":""10.0.1.10""}"
"ipA","IP A (198.51.100.23)","ip","{""reputation"":""Suspicious"",""owner"":""External ISP""}"
"hostB","Host B (srv-db-01)","host","{""os"":""Windows Server 2019"",""ip_internal"":""10.0.1.20"",""criticality"":""High""}"
"userZ_admin","User Z_admin (adminZ@example.com)","user","{""role"":""Domain Admin"",""clearance"":""Top Secret""}"
"ipC","C2 Server (1.2.3.4)","ip","{""reputation"":""Known C2"",""owner"":""Malicious ISP""}"
user-Alice,Alice,user,"Senior Security Analyst"
user-Bob,Bob,user,"Junior SOC Analyst"
host-workstation1,Workstation-1,host,"Primary workstation for Alice"
host-webserver,WebServer,host,"Public-facing web server"
ip-192-168-1-10,192.168.1.10,ip,"Internal IP address"
ip-10-0-0-5,10.0.0.5,ip,"Server IP address"
threat-phishing-1,Phishing-Attempt-1,threat,"Phishing email detected from suspicious domain"
asset-db,Primary-DB,asset,"Main production database"
system-auth,Auth-System,system,"Authentication service" 
